네트워크 시뮬레이션 시작: round robin, constant (동적 라우팅 포함)

요청 1: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → 10.1.2.0는 Router1에서 도달 불가
요청 2: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → 10.1.2.0는 Router1에서 도달 불가
요청 3: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → 10.1.2.0는 Router1에서 도달 불가
요청 4: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → 10.1.2.0는 Router1에서 도달 불가
요청 32: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1057초
요청 33: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0009초
요청 34: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4121초
요청 35: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2060초
요청 36: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1060초
요청 37: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0007초
요청 38: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4104초
요청 39: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2061초
요청 40: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1049초
요청 41: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0009초
요청 42: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4120초
요청 43: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2058초
요청 44: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1038초
